"cm_id","X_Easting","Y_Northing","timestamp","group"
"100",1430025.46380855,5083172.75831317,2020-02-07 00:27:29,6
"100",1430025.46380855,5083172.75831317,2020-02-07 00:32:12,7
"100",1430025.46380855,5083172.75831317,2020-02-07 00:37:24,8
"100",1430025.46380855,5083172.75831317,2020-02-07 00:42:05,9
"100",1430025.46380855,5083172.75831317,2020-02-07 00:47:16,10
"100",1430025.46380855,5083172.75831317,2020-02-07 00:52:28,11
"100",1430025.46380855,5083172.75831317,2020-02-07 00:57:11,12
"100",1430025.46380855,5083172.75831317,2020-02-07 01:02:23,13
"100",1430025.46380855,5083172.75831317,2020-02-07 01:07:05,14
"100",1430025.46380855,5083172.75831317,2020-02-07 01:12:16,15
"100",1430025.46380855,5083172.75831317,2020-02-07 01:17:26,16
"100",1430019.00178966,5083188.26239707,2020-02-07 01:22:06,17
"100",1430019.00178966,5083188.26239707,2020-02-07 01:27:13,18
"100",1430019.00178966,5083188.26239707,2020-02-07 01:32:21,19
"100",1430019.00178966,5083188.26239707,2020-02-07 01:37:29,20
"100",1430019.00178966,5083188.26239707,2020-02-07 01:42:10,21
"100",1430019.00178966,5083188.26239707,2020-02-07 01:47:20,22
"100",1430019.00178966,5083188.26239707,2020-02-07 01:52:02,23
"100",1430019.00178966,5083188.26239707,2020-02-07 01:57:13,24
"100",1430019.00178966,5083188.26239707,2020-02-07 02:02:23,25
"100",1430015.69084221,5083174.61549141,2020-02-07 02:07:06,26
"100",1430015.69084221,5083174.61549141,2020-02-07 02:12:17,27
"100",1430015.69084221,5083174.61549141,2020-02-07 02:17:26,28
"100",1430014.83764294,5083161.47725406,2020-02-07 02:22:07,29
"100",1430005.27605037,5083155.22578962,2020-02-07 02:27:15,30
"100",1430005.27605037,5083155.22578962,2020-02-07 02:32:26,31
"100",1430005.27605037,5083155.22578962,2020-02-07 02:37:06,32
"100",1430044.24620154,5083152.46229185,2020-02-07 02:42:15,33
"100",1430044.24620154,5083152.46229185,2020-02-07 02:47:24,34
"100",1430044.24620154,5083152.46229185,2020-02-07 02:52:10,35
"100",1430044.24620154,5083152.46229185,2020-02-07 02:57:24,36
"100",1430044.24620154,5083152.46229185,2020-02-07 03:02:07,37
"100",1430044.24620154,5083152.46229185,2020-02-07 03:07:23,38
"100",1430044.81288496,5083176.59715408,2020-02-07 03:12:14,39
"100",1430050.10026538,5083160.28437051,2020-02-07 03:17:03,40
"100",1430050.10026538,5083160.28437051,2020-02-07 03:22:21,41
"100",1430050.10026538,5083160.28437051,2020-02-07 03:27:11,42
"100",1430050.10026538,5083160.28437051,2020-02-07 03:32:29,43
"100",1430043.86120724,5083167.23554265,2020-02-07 03:37:17,44
"100",1430043.86120724,5083167.23554265,2020-02-07 03:42:07,45
"100",1430047.33720132,5083174.55103963,2020-02-07 03:47:22,46
"100",1430044.93446096,5083171.93191707,2020-02-07 03:52:04,47
"100",1430051.12292183,5083169.98128787,2020-02-07 03:57:15,48
"100",1430051.12292183,5083169.98128787,2020-02-07 04:02:25,49
"100",1430056.01373765,5083168.88605864,2020-02-07 04:07:09,50
"100",1430049.86869829,5083169.17053634,2020-02-07 04:12:20,51
"100",1430049.86869829,5083169.17053634,2020-02-07 04:17:04,52
"100",1430064.48035815,5083168.21745914,2020-02-07 04:22:21,53
"100",1430064.50061852,5083167.43991964,2020-02-07 04:27:11,54
